0.01
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1.00,98.01215,4.91264,95.08736,76.03093,99.14780,0.81033,1.17751
2000,2.00,97.98683,4.91264,95.08736,80.67010,98.88149,1.06356,0.94961
3000,5.00,98.06280,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,9.00,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,13.00,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,19.00,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,24.00,98.06280,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,33.00,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,42.00,98.12611,4.91264,95.08736,81.70103,98.97470,0.97493,0.89896
10000,50.00,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
