0.01
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,6.00,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,26.00,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,45.00,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,98.00,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,124.00,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,170.00,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,215.00,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,198.00,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,186.00,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,425.00,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
