1,,,,,,,,
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1,98.01215,4.91264,95.08736,76.03093,99.1478,0.81033,1.17751
2000,2,97.98683,4.91264,95.08736,80.6701,98.88149,1.06356,0.94961
3000,5,98.0628,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,10,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,16,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,21,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,27,98.0628,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,33,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,40,98.12611,4.91264,95.08736,81.70103,98.9747,0.97493,0.89896
10000,49,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
0.5,,,,,,,,
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1,98.01215,4.91264,95.08736,76.03093,99.1478,0.81033,1.17751
2000,3,97.98683,4.91264,95.08736,80.6701,98.88149,1.06356,0.94961
3000,4,98.0628,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,9,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,14,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,20,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,26,98.0628,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,33,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,41,98.12611,4.91264,95.08736,81.70103,98.9747,0.97493,0.89896
10000,50,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
0.25,,,,,,,,
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1,98.01215,4.91264,95.08736,76.03093,99.1478,0.81033,1.17751
2000,2,97.98683,4.91264,95.08736,80.6701,98.88149,1.06356,0.94961
3000,5,98.0628,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,9,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,13,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,18,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,24,98.0628,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,34,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,40,98.12611,4.91264,95.08736,81.70103,98.9747,0.97493,0.89896
10000,35,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
0.1,,,,,,,,
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1,98.01215,4.91264,95.08736,76.03093,99.1478,0.81033,1.17751
2000,3,97.98683,4.91264,95.08736,80.6701,98.88149,1.06356,0.94961
3000,6,98.0628,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,12,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,19,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,23,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,13,98.0628,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,19,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,30,98.12611,4.91264,95.08736,81.70103,98.9747,0.97493,0.89896
10000,36,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
0.01,,,,,,,,
size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,1,98.01215,4.91264,95.08736,76.03093,99.1478,0.81033,1.17751
2000,2,97.98683,4.91264,95.08736,80.6701,98.88149,1.06356,0.94961
3000,5,98.0628,4.91264,95.08736,82.98969,98.84154,1.10154,0.83565
4000,9,97.87288,4.91264,95.08736,84.27835,98.57523,1.35477,0.77235
5000,13,97.72094,4.91264,95.08736,85.82474,98.33555,1.58268,0.69638
6000,19,97.80957,4.91264,95.08736,85.05155,98.46871,1.45606,0.73436
7000,24,98.0628,4.91264,95.08736,85.82474,98.69507,1.24082,0.69638
8000,33,98.07546,4.91264,95.08736,83.76289,98.81491,1.12687,0.79767
9000,42,98.12611,4.91264,95.08736,81.70103,98.9747,0.97493,0.89896
10000,50,98.16409,4.91264,95.08736,82.21649,98.98802,0.96227,0.87364
