1,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,4,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,13,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,28,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,53,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,77,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,117,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,218,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,137,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,169,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,490,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
0.5,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,4,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,12,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,25,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,47,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,73,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,99,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,128,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,98,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,93,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,243,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
0.25,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,6,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,19,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,43,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,99,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,151,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,195,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,270,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,188,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,161,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,452,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
0.1,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,8,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,24,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,52,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,98,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,126,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,169,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,207,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,149,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,142,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,355,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
0.01,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,6,53.43890%,53.44861%,46.55139%,99.74555%,0.27129%,46.42510%,0.13600%
18530,26,53.46804%,53.44861%,46.55139%,99.81825%,0.25042%,46.43482%,0.09714%
27795,45,53.40004%,53.44861%,46.55139%,99.65467%,0.29215%,46.41539%,0.18457%
37060,98,53.47775%,53.44861%,46.55139%,99.83642%,0.25042%,46.43482%,0.08743%
46325,124,53.51661%,53.44861%,46.55139%,99.87277%,0.29215%,46.41539%,0.06800%
55590,170,53.47775%,53.44861%,46.55139%,99.12759%,1.06427%,46.05595%,0.46629%
64855,215,53.40975%,53.44861%,46.55139%,97.85533%,2.37896%,45.44395%,1.14630%
74120,198,53.35147%,53.44861%,46.55139%,84.09669%,18.05092%,38.14844%,8.50010%
83385,186,53.31261%,53.44861%,46.55139%,84.16939%,17.88397%,38.22615%,8.46124%
92650,425,53.33204%,53.44861%,46.55139%,83.62414%,18.55175%,37.91529%,8.75267%
