Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
100,1.00,98.15143,4.91264,95.08736,79.12371,99.13449,0.82299,1.02558
100,2.00,98.07546,4.91264,95.08736,79.89691,99.01465,0.93695,0.98759
100,3.00,98.12611,4.91264,95.08736,79.89691,99.06791,0.88630,0.98759
100,4.00,98.17675,4.91264,95.08736,80.67010,99.08123,0.87364,0.94961
100,5.00,98.16409,4.91264,95.08736,78.09278,99.20107,0.75969,1.07622
200,14.00,98.12611,4.91264,95.08736,81.44330,98.98802,0.96227,0.91162
200,15.00,98.15143,4.91264,95.08736,79.63918,99.10786,0.84832,1.00025
200,18.00,98.20208,4.91264,95.08736,80.92784,99.09454,0.86098,0.93695
200,20.00,98.24006,4.91264,95.08736,81.18557,99.12117,0.83565,0.92428
200,23.00,98.22740,4.91264,95.08736,81.44330,99.09454,0.86098,0.91162
300,37.00,98.22740,4.91264,95.08736,81.44330,99.09454,0.86098,0.91162
300,38.00,98.18942,4.91264,95.08736,80.41237,99.10786,0.84832,0.96227
300,44.00,98.15143,4.91264,95.08736,80.15464,99.08123,0.87364,0.97493
300,48.00,98.25272,4.91264,95.08736,81.18557,99.13449,0.82299,0.92428
300,55.00,98.21474,4.91264,95.08736,80.67010,99.12117,0.83565,0.94961
400,82.00,98.16409,4.91264,95.08736,81.70103,99.01465,0.93695,0.89896
400,85.00,98.24006,4.91264,95.08736,81.44330,99.10786,0.84832,0.91162
400,92.00,98.22740,4.91264,95.08736,81.95876,99.06791,0.88630,0.88630
400,95.00,98.21474,4.91264,95.08736,82.21649,99.04128,0.91162,0.87364
400,99.00,98.13877,4.91264,95.08736,81.70103,98.98802,0.96227,0.89896
500,134.00,98.24006,4.91264,95.08736,81.70103,99.09454,0.86098,0.89896
500,145.00,98.21474,4.91264,95.08736,80.67010,99.12117,0.83565,0.94961
500,150.00,98.24006,4.91264,95.08736,80.15464,99.17443,0.78501,0.97493
500,154.00,98.30337,4.91264,95.08736,81.18557,99.18775,0.77235,0.92428
500,166.00,98.29071,4.91264,95.08736,80.92784,99.18775,0.77235,0.93695
600,207.00,98.22740,4.91264,95.08736,81.95876,99.06791,0.88630,0.88630
600,202.00,98.30337,4.91264,95.08736,83.24742,99.08123,0.87364,0.82299
600,207.00,98.25272,4.91264,95.08736,81.95876,99.09454,0.86098,0.88630
600,220.00,98.27805,4.91264,95.08736,81.95876,99.12117,0.83565,0.88630
600,223.00,98.25272,4.91264,95.08736,82.47423,99.06791,0.88630,0.86098
700,256.00,98.34135,4.91264,95.08736,81.95876,99.18775,0.77235,0.88630
700,278.00,98.32869,4.91264,95.08736,81.70103,99.18775,0.77235,0.89896
700,277.00,98.37934,4.91264,95.08736,82.73196,99.18775,0.77235,0.84832
700,324.00,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.88630
700,425.00,98.29071,4.91264,95.08736,81.95876,99.13449,0.82299,0.88630
800,643.00,98.17675,4.91264,95.08736,82.21649,99.00133,0.94961,0.87364
800,646.00,98.27805,4.91264,95.08736,82.73196,99.08123,0.87364,0.84832
800,664.00,98.20208,4.91264,95.08736,81.70103,99.05459,0.89896,0.89896
800,724.00,98.21474,4.91264,95.08736,82.73196,99.01465,0.93695,0.84832
800,638.00,98.20208,4.91264,95.08736,83.24742,98.97470,0.97493,0.82299
900,752.00,98.22740,4.91264,95.08736,81.70103,99.08123,0.87364,0.89896
900,757.00,98.13877,4.91264,95.08736,81.44330,99.00133,0.94961,0.91162
900,592.00,98.29071,4.91264,95.08736,82.21649,99.12117,0.83565,0.87364
900,619.00,98.21474,4.91264,95.08736,81.70103,99.06791,0.88630,0.89896
900,679.00,98.17675,4.91264,95.08736,81.95876,99.01465,0.93695,0.88630
1000,748.00,98.25272,4.91264,95.08736,81.95876,99.09454,0.86098,0.88630
1000,1049.00,98.18942,4.91264,95.08736,82.21649,99.01465,0.93695,0.87364
1000,1168.00,98.24006,4.91264,95.08736,81.44330,99.10786,0.84832,0.91162
1000,1207.00,98.21474,4.91264,95.08736,81.44330,99.08123,0.87364,0.91162
1000,1252.00,98.18942,4.91264,95.08736,82.21649,99.01465,0.93695,0.87364
