depth,Leaf = 1,Split = 2,,,,,,
depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1,0,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.8863
2,0,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.8863
3,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
4,0,98.41732,4.91264,95.08736,86.08247,99.05459,0.89896,0.68372
5,0,98.32869,4.91264,95.08736,84.53608,99.04128,0.91162,0.75969
6,0,98.25272,4.91264,95.08736,84.27835,98.9747,0.97493,0.77235
7,0,98.03748,4.91264,95.08736,84.02062,98.76165,1.17751,0.78501
8,0,98.05014,4.91264,95.08736,84.79381,98.73502,1.20284,0.74702
9,0,97.97417,4.91264,95.08736,84.27835,98.68176,1.25348,0.77235
10,0,97.75893,4.91264,95.08736,82.21649,98.56192,1.36743,0.87364
11,0,97.78425,4.91264,95.08736,82.98969,98.5486,1.3801,0.83565
12,1,97.39174,4.91264,95.08736,82.98969,98.13582,1.7726,0.83565
13,1,97.5057,4.91264,95.08736,83.76289,98.21571,1.69663,0.79767
14,1,97.55634,4.91264,95.08736,84.27835,98.24234,1.67131,0.77235
15,1,97.29045,4.91264,95.08736,84.53608,97.9494,1.94986,0.75969
16,1,97.11319,4.91264,95.08736,83.76289,97.80293,2.08914,0.79767
17,1,96.98658,4.91264,95.08736,84.27835,97.64314,2.24107,0.77235
18,1,97.08787,4.91264,95.08736,84.79381,97.72304,2.16511,0.74702
19,1,97.1765,4.91264,95.08736,84.53608,97.82956,2.06381,0.75969
20,1,96.98658,4.91264,95.08736,84.02062,97.65646,2.22841,0.78501
Split,Leaf = 1,Depth = 9,,,,,,
Min Split,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
2,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
3,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
4,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
5,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
6,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
7,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
8,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
9,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
10,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
100,0,98.21474,4.91264,95.08736,86.59794,98.81491,1.12687,0.65839
1000,0,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.8863
10000,0,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.8863
100000,0,95.08736,4.91264,95.08736,0,100,0,4.91264
