depth,leaf = 1,split = 2,,,,,,
Depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
926,0,51.70973%,53.44861%,46.55139%,57.56089%,44.99165%,25.60715%,22.68312%
1852,0,51.02001%,53.44861%,46.55139%,56.17957%,45.09599%,25.55858%,23.42141%
2778,0,50.96173%,53.44861%,46.55139%,54.30752%,47.12020%,24.61628%,24.42199%
3704,0,50.49543%,53.44861%,46.55139%,53.58052%,46.95326%,24.69400%,24.81057%
4630,0,50.13600%,53.44861%,46.55139%,52.90803%,46.95326%,24.69400%,25.17000%
5556,0,51.02973%,53.44861%,46.55139%,54.12577%,47.47496%,24.45114%,24.51914%
6482,1,51.45716%,53.44861%,46.55139%,54.05307%,48.47663%,23.98485%,24.55799%
7408,1,50.22343%,53.44861%,46.55139%,52.21738%,47.93406%,24.23742%,25.53915%
8334,1,50.71887%,53.44861%,46.55139%,52.27190%,48.93573%,23.77113%,25.51001%
9260,1,50.61201%,53.44861%,46.55139%,53.85314%,46.89065%,24.72314%,24.66485%
10186,1,51.08801%,53.44861%,46.55139%,53.81679%,47.95492%,24.22771%,24.68428%
11112,2,50.83544%,53.44861%,46.55139%,52.92621%,48.43489%,24.00427%,25.16029%
12038,2,51.04915%,53.44861%,46.55139%,53.18066%,48.60184%,23.92656%,25.02429%
12964,2,50.86458%,53.44861%,46.55139%,54.50745%,46.68197%,24.82028%,24.31514%
13890,2,51.22401%,53.44861%,46.55139%,53.92585%,48.12187%,24.14999%,24.62600%
14816,3,50.45658%,53.44861%,46.55139%,52.21738%,48.43489%,24.00427%,25.53915%
15742,3,51.65145%,53.44861%,46.55139%,54.94366%,47.87145%,24.26656%,24.08199%
16668,3,51.69031%,53.44861%,46.55139%,54.34387%,48.64357%,23.90713%,24.40256%
17594,4,50.36915%,53.44861%,46.55139%,52.65358%,47.74624%,24.32485%,25.30600%
18520,4,51.16573%,53.44861%,46.55139%,53.78044%,48.16361%,24.13056%,24.70371%
depth,leaf = 1,split = 2,,,,,,
Depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
2,0,53.55547%,53.44861%,46.55139%,96.61941%,4.11102%,44.63765%,1.80688%
4,0,53.05032%,53.44861%,46.55139%,91.87568%,8.47245%,42.60734%,4.34234%
6,0,53.85662%,53.44861%,46.55139%,90.53072%,11.74875%,41.08218%,5.06120%
8,0,52.68117%,53.44861%,46.55139%,61.55943%,42.48748%,26.77288%,20.54595%
10,0,52.72003%,53.44861%,46.55139%,66.72119%,36.64441%,29.49291%,17.78706%
12,0,52.47717%,53.44861%,46.55139%,68.52054%,34.05676%,30.69749%,16.82534%
14,0,51.59316%,53.44861%,46.55139%,64.81280%,36.41486%,29.59977%,18.80707%
