Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
100,0.00,97.80957,4.91264,95.08736,81.95876,98.62850,1.30413,0.88630
200,0.00,97.86022,4.91264,95.08736,82.73196,98.64181,1.29147,0.84832
300,1.00,95.21398,4.91264,95.08736,74.74227,96.27164,3.54520,1.24082
400,2.00,95.40390,4.91264,95.08736,85.56701,95.91212,3.88706,0.70904
500,3.00,95.08736,4.91264,95.08736,78.60825,95.93875,3.86174,1.05090
600,4.00,95.04938,4.91264,95.08736,80.41237,95.80559,3.98835,0.96227
700,7.00,96.13826,4.91264,95.08736,80.92784,96.92410,2.92479,0.93695
800,8.00,96.31552,4.91264,95.08736,80.15464,97.15047,2.70955,0.97493
900,9.00,96.31552,4.91264,95.08736,79.63918,97.17710,2.68422,1.00025
1000,12.00,96.37883,4.91264,95.08736,83.50515,97.04394,2.81084,0.81033
1100,15.00,95.78374,4.91264,95.08736,82.98969,96.44474,3.38060,0.83565
1200,17.00,95.87237,4.91264,95.08736,80.15464,96.68442,3.15270,0.97493
1300,21.00,96.17625,4.91264,95.08736,80.41237,96.99068,2.86148,0.96227
1400,23.00,96.61940,4.91264,95.08736,80.92784,97.43009,2.44366,0.93695
1500,25.00,96.37883,4.91264,95.08736,84.27835,97.00399,2.84882,0.77235
1600,35.00,96.48012,4.91264,95.08736,84.53608,97.09720,2.76019,0.75969
1700,42.00,97.06255,4.91264,95.08736,84.27835,97.72304,2.16511,0.77235
1800,47.00,96.97392,4.91264,95.08736,84.27835,97.62983,2.25374,0.77235
1900,48.00,96.41681,4.91264,95.08736,83.50515,97.08389,2.77285,0.81033
2000,31.00,96.78400,4.91264,95.08736,83.50515,97.47004,2.40567,0.81033
2100,25.00,96.25222,4.91264,95.08736,85.05155,96.83089,3.01342,0.73436
2200,32.00,96.23955,4.91264,95.08736,85.82474,96.77763,3.06407,0.69638
2300,33.00,96.70803,4.91264,95.08736,85.56701,97.28362,2.58293,0.70904
2400,34.00,96.68270,4.91264,95.08736,85.82474,97.24368,2.62092,0.69638
2500,40.00,96.40415,4.91264,95.08736,86.34021,96.92410,2.92479,0.67106
2600,49.00,96.60674,4.91264,95.08736,85.56701,97.17710,2.68422,0.70904
2700,47.00,96.56875,4.91264,95.08736,86.85567,97.07057,2.78552,0.64573
2800,57.00,96.49278,4.91264,95.08736,86.85567,96.99068,2.86148,0.64573
2900,60.00,96.54343,4.91264,95.08736,86.85567,97.04394,2.81084,0.64573
