Depth,,,,,,,,
Depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
20,0,96.98658,4.91264,95.08736,84.27835,97.64314,2.24107,0.77235
40,0,97.15118,4.91264,95.08736,84.02062,97.82956,2.06381,0.78501
60,0,96.96126,4.91264,95.08736,83.50515,97.65646,2.22841,0.81033
80,0,96.97392,4.91264,95.08736,84.02062,97.64314,2.24107,0.78501
100,0,96.92327,4.91264,95.08736,83.24742,97.62983,2.25374,0.82299
120,1,97.1765,4.91264,95.08736,84.27835,97.84288,2.05115,0.77235
140,1,97.11319,4.91264,95.08736,84.53608,97.76298,2.12712,0.75969
160,1,97.02456,4.91264,95.08736,84.02062,97.6964,2.19043,0.78501
180,1,97.03722,4.91264,95.08736,84.53608,97.68309,2.20309,0.75969
200,1,97.08787,4.91264,95.08736,84.02062,97.76298,2.12712,0.78501
Depth,min leaf = 1,min split = 2,,,,,,
Depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
100,0,97.03722,4.91264,95.08736,83.24742,97.74967,2.13978,0.82299
200,0,97.10053,4.91264,95.08736,84.53608,97.74967,2.13978,0.75969
300,0,96.94859,4.91264,95.08736,83.24742,97.65646,2.22841,0.82299
400,0,97.12585,4.91264,95.08736,83.50515,97.82956,2.06381,0.81033
500,0,96.72069,4.91264,95.08736,84.53608,97.3502,2.51963,0.75969
600,1,96.79666,4.91264,95.08736,84.02062,97.45672,2.41833,0.78501
700,0,96.87263,4.91264,95.08736,84.27835,97.5233,2.35503,0.77235
800,0,97.04989,4.91264,95.08736,83.76289,97.73635,2.15244,0.79767
900,1,97.11319,4.91264,95.08736,85.05155,97.73635,2.15244,0.73436
1000,1,96.82198,4.91264,95.08736,83.76289,97.49667,2.38035,0.79767
leaf,Depth = 900,min split = 2,,,,,,
Min Leaf,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1,0,96.87263,4.91264,95.08736,84.53608,97.50999,2.36769,0.75969
2,0,96.99924,4.91264,95.08736,83.76289,97.68309,2.20309,0.79767
