Neighbors,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1,0,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
2,0,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
3,1,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
4,1,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
5,1,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
6,2,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
7,2,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
8,3,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
9,4,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
10,4,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
11,5,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
12,6,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
13,5,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
14,6,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
15,7,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
16,8,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
17,9,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
18,10,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
19,10,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
20,11,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
21,12,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
22,13,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
23,15,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
24,15,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
25,14,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
26,14,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
27,16,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
28,17,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
29,18,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
30,19,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
31,21,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
32,23,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
33,23,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
34,24,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
35,25,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
36,26,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
37,27,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
38,28,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
39,29,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
40,31,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
41,32,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
42,33,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
43,35,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
44,37,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
45,42,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
46,39,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
47,40,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
48,40,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
49,42,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
50,39,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
51,40,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
52,42,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
53,42,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
54,46,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
55,47,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
56,49,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
57,51,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
58,52,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
59,55,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
60,56,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
61,57,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
62,60,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
63,61,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
64,63,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
65,65,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
66,65,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
67,69,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
68,72,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
69,72,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
70,75,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
71,77,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
72,78,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
73,81,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
74,84,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
75,85,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
76,88,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
77,90,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
78,94,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
79,93,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
