Neighbors,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1,0,51.37944%,53.44861%,46.55139%,58.72410%,42.94658%,26.55916%,22.06139%
2,1,50.30115%,53.44861%,46.55139%,44.51109%,56.94908%,20.04080%,29.65805%
3,2,50.75772%,53.44861%,46.55139%,55.83424%,44.92905%,25.63629%,23.60598%
4,4,49.35885%,53.44861%,46.55139%,47.05562%,52.00334%,22.34311%,28.29804%
5,9,49.66971%,53.44861%,46.55139%,54.28935%,44.36561%,25.89858%,24.43171%
6,13,49.58228%,53.44861%,46.55139%,48.85496%,50.41736%,23.08141%,27.33631%
7,25,50.07772%,53.44861%,46.55139%,53.87132%,45.72204%,25.26715%,24.65514%
8,30,49.91257%,53.44861%,46.55139%,50.39985%,49.35309%,23.57684%,26.51059%
9,42,50.24286%,53.44861%,46.55139%,54.10760%,45.80551%,25.22829%,24.52885%
10,56,50.04857%,53.44861%,46.55139%,50.76336%,49.22788%,23.63513%,26.31630%
11,72,50.01943%,53.44861%,46.55139%,53.34424%,46.20200%,25.04371%,24.93686%
12,72,49.86400%,53.44861%,46.55139%,50.69066%,48.91486%,23.78084%,26.35516%
13,92,50.26229%,53.44861%,46.55139%,53.76227%,46.24374%,25.02429%,24.71343%
14,114,50.37886%,53.44861%,46.55139%,51.96292%,48.56010%,23.94599%,25.67515%
15,138,50.58286%,53.44861%,46.55139%,54.27117%,46.34808%,24.97571%,24.44142%
16,120,50.59258%,53.44861%,46.55139%,52.34460%,48.58097%,23.93627%,25.47115%
17,134,50.56344%,53.44861%,46.55139%,53.99855%,46.61937%,24.84943%,24.58714%
18,156,50.40800%,53.44861%,46.55139%,52.18103%,48.37229%,24.03342%,25.55858%
19,185,50.52458%,53.44861%,46.55139%,53.98037%,46.55676%,24.87857%,24.59685%
20,211,50.51486%,53.44861%,46.55139%,52.45365%,48.28881%,24.07228%,25.41286%
21,243,50.79658%,53.44861%,46.55139%,54.23482%,46.84891%,24.74257%,24.46085%
22,278,50.63144%,53.44861%,46.55139%,52.70811%,48.24708%,24.09170%,25.27686%
23,224,50.75772%,53.44861%,46.55139%,54.12577%,46.89065%,24.72314%,24.51914%
24,283,50.65086%,53.44861%,46.55139%,52.49000%,48.53923%,23.95570%,25.39343%
25,273,50.72858%,53.44861%,46.55139%,53.78044%,47.22454%,24.56771%,24.70371%
26,295,50.58286%,53.44861%,46.55139%,52.41730%,48.47663%,23.98485%,25.43229%
27,327,50.57315%,53.44861%,46.55139%,53.54417%,47.16194%,24.59685%,24.83000%
28,356,50.58286%,53.44861%,46.55139%,52.39913%,48.49750%,23.97513%,25.44201%
29,388,50.85487%,53.44861%,46.55139%,53.43511%,47.89232%,24.25685%,24.88828%
30,425,50.74801%,53.44861%,46.55139%,52.29008%,48.97746%,23.75170%,25.50029%
31,458,50.79658%,53.44861%,46.55139%,53.05344%,48.20534%,24.11113%,25.09229%
32,454,50.55372%,53.44861%,46.55139%,51.89022%,49.01920%,23.73227%,25.71401%
33,337,50.67029%,53.44861%,46.55139%,53.08979%,47.89232%,24.25685%,25.07286%
34,386,50.52458%,53.44861%,46.55139%,51.92657%,48.91486%,23.78084%,25.69458%
35,447,50.48572%,53.44861%,46.55139%,52.61723%,48.03840%,24.18885%,25.32543%
36,475,50.56344%,53.44861%,46.55139%,51.70847%,49.24875%,23.62541%,25.81115%
37,518,50.77715%,53.44861%,46.55139%,52.88986%,48.35142%,24.04313%,25.17972%
38,592,50.75772%,53.44861%,46.55139%,51.98110%,49.35309%,23.57684%,25.66544%
39,635,50.84515%,53.44861%,46.55139%,52.96256%,48.41402%,24.01399%,25.14086%
40,711,50.68972%,53.44861%,46.55139%,52.05380%,49.12354%,23.68370%,25.62658%
