rbf,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,21,53.45%,53.45%,46.55%,100.00%,0.00%,46.55%,0.00%
18530,215,53.46%,53.45%,46.55%,100.00%,0.02%,46.54%,0.00%
27795,597,53.46%,53.45%,46.55%,100.00%,0.02%,46.54%,0.00%
37060,2075,53.46%,53.45%,46.55%,100.00%,0.02%,46.54%,0.00%
46325,2759,53.46%,53.45%,46.55%,100.00%,0.02%,46.54%,0.00%
55590,4892,53.45%,53.45%,46.55%,99.96%,0.04%,46.53%,0.02%
64855,5197,53.46%,53.45%,46.55%,99.96%,0.06%,46.52%,0.02%
74120,10924,53.44%,53.45%,46.55%,99.91%,0.08%,46.51%,0.05%
83385,15152,53.44%,53.45%,46.55%,99.91%,0.08%,46.51%,0.05%
92650,22690,53.45%,53.45%,46.55%,99.91%,0.10%,46.50%,0.05%
linear,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
9265,121,53.45%,53.45%,46.55%,100.00%,0.00%,46.55%,0.00%
18530,1593,53.45%,53.45%,46.55%,100.00%,0.00%,46.55%,0.00%
27795,9878,53.45%,53.45%,46.55%,100.00%,0.00%,46.55%,0.00%
